latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
58.6251,124.0398,336.7,0.62,0.52,2024-09-26,0216,1,VIIRS,nominal,2.0NRT,304.0,75.9,N
62.9797,134.3167,329.7,0.41,0.41,2024-09-26,0139,N,VIIRS,nominal,2.0NRT,303.8,33.3,N
40.8339,20.4028,350.9,0.58,0.54,2024-09-25,1546,1,VIIRS,nominal,2.0NRT,314.6,58.0,D
62.0328,125.2333,359.0,0.35,0.51,2024-09-25,1218,1,VIIRS,nominal,2.0NRT,313.5,85.1,D
59.5456,118.8588,353.1,0.39,0.52,2024-09-25,1214,1,VIIRS,nominal,2.0NRT,312.9,47.5,D
58.1003,-113.9572,332.9,0.5,0.58,2024-09-25,0032,1,VIIRS,nominal,2.0NRT,301.1,32.7,N
63.9334,125.3404,358.3,0.75,0.62,2024-09-24,1402,1,VIIRS,nominal,2.0NRT,315.5,103.1,D
38.6044,15.3354,367.0,0.41,0.47,2024-09-23,1241,N,VIIRS,high,2.0NRT,317.5,458.0,D
40.4286,7.9487,342.9,0.55,0.41,2024-09-23,0205,N,VIIRS,nominal,2.0NRT,305.4,83.4,N
58.2559,-121.6848,341.4,0.62,0.6,2024-09-23,0009,1,VIIRS,high,2.0NRT,304.9,162.7,N
64.641,123.3803,365.6,0.7,0.36,2024-09-22,1456,N,VIIRS,high,2.0NRT,319.8,232.1,D
38.6928,-121.4821,327.2,0.74,0.47,2024-09-22,0257,1,VIIRS,nominal,2.0NRT,300.5,25.7,N
55.2675,-123.7683,335.8,0.72,0.49,2024-09-22,0121,N,VIIRS,nominal,2.0NRT,301.3,87.7,N
37.4358,0.4112,361.7,0.72,0.43,2024-09-20,1331,1,VIIRS,nominal,2.0NRT,317.1,103.7,D
